LINE_ID,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,RATING_MW
T_206,N_29050,N_1422,0.00238,0.13267,,
T_207,N_1425,N_1426,0.00047,0.02829,,
T_208,N_1426,N_17016,0.00288,0.15444,,
T_209,N_17016,N_1425,0.00263,0.16311,,
T_222,N_1451,N_1450,0.00375,0.093888,,
T_223,N_1472,N_1473,0.00849,0.13961,,
T_224,N_1490,N_1491,0.00147,0.079185,,
T_225,N_1490,N_1491,0.0010408,0.092904,,
T_226,N_11527,N_1527,0.00245,0.07099,,
T_698,N_6028,N_6030,0.00719,0.16518,,
T_699,N_6048,N_6050,0.00197,0.07425,,
T_700,N_6055,N_6060,0.00563,0.12254,,
T_701,N_6064,N_6066,0.00301,0.10877,,
T_702,N_6100,N_6098,0.00079,0.04593,,
T_703,N_6100,N_6097,0.00069,0.04572,,
T_704,N_6097,N_60780,0.00825,0.43699,,
T_705,N_60780,N_6100,0.00768,0.37599,,
T_706,N_6108,N_6110,0.0033,0.10415,,
T_707,N_6133,N_6135,0.00275,0.09369,,
T_708,N_6148,N_6150,0.00692,0.16519,,
T_1088,N_11479,N_140041,0.010067,0.26444,,
T_1089,N_11482,N_140042,0.010089,0.26533,,
T_1147,N_23900,N_23902,0.0000001,0.08,,
T_1148,N_23902,N_23904,0.0000001,0.497,,
T_1149,N_23904,N_23900,0.0000001,0.5915,,
T_1150,N_23914,N_23916,0.0000001,0.08,,
T_1151,N_23916,N_23918,0.0000001,0.497,,
T_1152,N_23918,N_23914,0.0000001,0.5915,,
T_1523,N_59116,N_59114,0.00106,0.11083,,
T_1524,N_59114,N_59112,0.00147,0.15277,,
T_1525,N_59112,N_59116,0.00284,0.29554,,
T_1526,N_59134,N_59132,0.00106,0.11099,,
T_1527,N_59132,N_59130,0.00148,0.15555,,
T_1528,N_59130,N_59134,0.00286,0.29943,,
T_1529,N_59146,N_59144,0.00104,0.11166,,
T_1530,N_59144,N_59142,0.00145,0.15499,,
T_1531,N_59142,N_59146,0.00276,0.29499,,
T_1532,N_59156,N_59124,0.00044,0.03894,,
T_1533,N_59124,N_59155,0.0017,0.14965,,
T_1534,N_59155,N_59156,0.00226,0.1989,,
T_1535,N_59156,N_59124,0.00044,0.03911,,
T_1536,N_59124,N_59163,0.0017,0.14951,,
T_1537,N_59163,N_59156,0.00226,0.19903,,
T_1538,N_59168,N_59166,0.00105,0.11183,,
T_1539,N_59166,N_59167,0.00146,0.1561,,
T_1540,N_59167,N_59168,0.00277,0.29554,,
T_1541,N_59175,N_59174,0.01832,0.36274,,
T_1542,N_59178,N_59181,0.00044,0.03894,,
T_1543,N_59181,N_59176,0.0017,0.15019,,
T_1544,N_59176,N_59178,0.00227,0.19958,,
T_1545,N_59178,N_59181,0.00045,0.03925,,
T_1546,N_59181,N_59177,0.0017,0.14951,,
T_1547,N_59177,N_59178,0.00226,0.19917,,
T_1548,N_59196,N_59188,0.00044,0.03911,,
T_1549,N_59188,N_59189,0.0017,0.14965,,
T_1550,N_59189,N_59196,0.00226,0.1989,,
T_1551,N_59196,N_59188,0.00044,0.039,,
T_1552,N_59188,N_59190,0.0017,0.14992,,
T_1553,N_59190,N_59196,0.00226,0.19917,,
T_1575,N_60501,N_60502,0.0000001,0.04833,,
T_1576,N_60501,N_60503,0.0000001,0.04833,,
T_2045,N_140082,N_140081,0.0056383,0.17889,,
T_2046,N_140182,N_140181,0.00198,0.09049,,
T_2049,N_140383,N_140381,0.00071,0.05035,,
T_2050,N_140383,N_142511,0.00104,0.06476,,
T_2051,N_140402,N_140401,0.0018,0.07015,,
T_2052,N_140442,N_140441,0.00171,0.092084,,
T_2053,N_140471,N_140473,0.00212,0.09807,,
T_2054,N_140472,N_140473,0.00204,0.09858,,
T_2055,N_140503,N_140501,0.01126,0.11263,,
T_2056,N_140503,N_140502,0.01126,0.11263,,
T_2057,N_140603,N_140601,0.01126,0.1333,,
T_2058,N_140603,N_140602,0.01126,0.1333,,
T_2059,N_140653,N_140651,0.00187,0.09525,,
T_2060,N_140653,N_140652,0.00187,0.09525,,
T_2061,N_140656,N_140654,0.00187,0.09523,,
T_2062,N_140656,N_140655,0.00187,0.09523,,
T_2064,N_140753,N_140751,0.0031568,0.11996,,
T_2065,N_140753,N_140752,0.0031568,0.11996,,
T_2066,N_140803,N_140801,0.0023211,0.11944,,
T_2067,N_140803,N_140802,0.0023383,0.11864,,
T_2068,N_140853,N_140851,0.0035175,0.11995,,
T_2069,N_140853,N_140852,0.0035175,0.11995,,
T_2070,N_140903,N_140901,0.00213,0.09745,,
T_2071,N_140903,N_140902,0.00209,0.09761,,
T_2072,N_140953,N_140951,0.0025,0.088,,
T_2073,N_140954,N_140952,0.0025,0.088,,
T_2075,N_141053,N_141051,0.00174,0.07698,,
T_2076,N_141053,N_141052,0.00174,0.07698,,
T_2077,N_141152,N_141151,0.00226,0.099971,,
T_2078,N_141201,N_141202,0.0029716,0.14483,,
T_2079,N_141201,N_141205,0.0029274,0.14485,,
T_2080,N_141301,N_141303,0.0019601,0.099981,,
T_2081,N_141351,N_141353,0.0037706,0.12472,,
T_2082,N_141351,N_141354,0.0030872,0.11931,,
T_2083,N_141402,N_141401,0.00226,0.097164,,
T_2084,N_141402,N_141451,0.002048,0.097068,,
T_2085,N_141503,N_141506,0.001951,0.085075,,
T_2086,N_141605,N_141601,0.0035333,0.16217,,
T_2087,N_141605,N_141602,0.0035333,0.16217,,
T_2088,N_141605,N_141603,0.0035333,0.16217,,
T_2089,N_141607,N_141604,0.00097163,0.05996,,
T_2090,N_141607,N_141606,0.0004,0.03439,,
T_2091,N_141607,N_141608,0.00097163,0.05996,,
T_2092,N_141607,N_141609,0.00097163,0.05996,,
T_2094,N_141712,N_141711,0.00251,0.0959,,
T_2095,N_141765,N_141761,0.00257,0.12661,,
T_2096,N_141765,N_141762,0.00257,0.12661,,
T_2099,N_141867,N_141861,0.0024649,0.11536,,
T_2100,N_141867,N_141862,0.0024649,0.11536,,
T_2104,N_142563,N_142561,0.0012834,0.074804,,
T_2105,N_142563,N_142562,0.0013064,0.074063,,
